Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0031581~hemidesmosome assembly	7	1.4644351464435146	1.7653684747475814E-7	COL17A1, LAMB3, LAMA3, KRT5, KRT14, ITGB4, DST	415	12	16792	23.603212851405623	4.264221173786442E-4	4.264221173786442E-4	3.102182814296306E-4
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	28	5.857740585774058	3.288807366819652E-5	ELF4, ARHGEF28, JAG2, BEX1, GPM6B, NHS, PLAGL1, SMOC1, MEG3, RHOB, ANGPT1, SRD5A2, NDRG2, SPATA6, SIM2, ANGPTL4, COL13A1, MMP19, CENPF, DLL1, MECOM, CSRP2, EYA4, SPAG8, ETS2, SPDEF, AGR3, AGR2	415	462	16792	2.4522818546914933	0.07638401337330958	0.038950580549215186	0.05777670141962066
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	18	3.765690376569038	4.014969233178791E-5	PRKCA, FGFR2, DAB2IP, CAV1, VAV3, EPAS1, PTGS2, NRXN3, MMP19, KDR, ANXA2, UNC5B, PROK1, VEGFA, HIF3A, RHOB, ANGPT1, ANGPTL4	415	223	16792	3.266043546382841	0.09244726470998599	0.031817362765146684	0.07052943396713696
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	15	3.1380753138075312	3.7157932610249557E-4	COL13A1, ITGB4, COL4A6, KDR, COL4A5, COL9A1, LAMB3, FBLN1, COL9A2, LAMA3, COL7A1, SERPINB5, CRISPLD2, COMP, COL27A1	415	196	16792	3.0966314236537986	0.5925766585735208	0.20106494613936954	0.6509498483294518
GOTERM_BP_DIRECT	GO:0050680~negative regulation of epithelial cell proliferation	8	1.6736401673640167	4.306524702832897E-4	CDKN1C, FGFR2, DAB2IP, HPN, RGN, TGFBR3, PTN, MCC	415	56	16792	5.780378657487092	0.6467857515705773	0.1879034922873155	0.7540680229843999
GOTERM_BP_DIRECT	GO:0001933~negative regulation of protein phosphorylation	8	1.6736401673640167	7.290698088238723E-4	CCNB1, INSM1, NTRK3, DAB2IP, FBLN1, ANGPT1, PPARGC1A, SLIT2	415	61	16792	5.306577128184871	0.8283117718615765	0.25448436985750134	1.2734447233479163
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	9	1.882845188284519	8.527324161614741E-4	FGFR2, CAV2, DAB2IP, TNFRSF25, ADRA1A, IGF1, LPAR1, KIT, KDR	415	81	16792	4.495850066934404	0.8726836592345484	0.25505140250469027	1.48791963539755
GOTERM_BP_DIRECT	GO:0050873~brown fat cell differentiation	6	1.2552301255230125	0.0010339039996072052	LAMB3, CEBPB, ADRB1, PTGS2, PPARGC1A, MB	415	32	16792	7.586746987951808	0.917849656606796	0.26831159494719437	1.8013422385748101
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	13	2.7196652719665275	0.0011728588945682109	AJUBA, CAV1, EPAS1, PENK, CLDN3, CRYAB, VEGFA, TGFB3, TGFBR3, PDLIM1, CASP1, MB, ANGPTL4	415	172	16792	3.058223592042589	0.9412985066501299	0.2702346498609307	2.041093451139875
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	41	8.577405857740587	0.0012322182959181817	FGFR2, HLF, FOSL2, ELF4, BEX1, TGFB3, TP63, SOX4, ZEB2, HOXD10, PLAGL1, EPCAM, PGR, TMEM173, ZNF350, MEIS2, GATA3, BCL11A, AUTS2, CREB3L1, NRG1, TOP2A, PIK3R1, TWIST1, DAB2IP, MYO6, CEBPB, EPAS1, IGF1, DLL1, IFI16, CD40, ELL3, PPARGC1A, LPIN1, SPAG8, ETS2, VEGFA, SPDEF, HIF3A, ID4	415	981	16792	1.691099566461565	0.9491499967352044	0.25761515350491226	2.1433431199759045
GOTERM_BP_DIRECT	GO:0001822~kidney development	9	1.882845188284519	0.0012645967194297458	CDKN1C, SERPINF1, KCNJ8, GATA3, VEGFA, CENPF, RGN, ADAMTS1, LRP4	415	86	16792	4.234463435135892	0.9529807950054616	0.24264804140279228	2.1990742112096284
GOTERM_BP_DIRECT	GO:0000187~activation of MAPK activity	10	2.092050209205021	0.0013154627428783137	NTRK3, PROK1, MUC20, TGFB3, IGF1, LPAR1, KIT, NRG1, MAP2K6, AVPI1	415	107	16792	3.781556131066322	0.9584247481428323	0.23281004584712395	2.286566482755903
GOTERM_BP_DIRECT	GO:0048565~digestive tract development	6	1.2552301255230125	0.0015688272314115681	FGFR2, CCNB1, GATA3, TGFB3, ITGB4, KIT	415	35	16792	6.93645438898451	0.9774780042123113	0.2530742157447746	2.7212684609755344
GOTERM_BP_DIRECT	GO:1901687~glutathione derivative biosynthetic process	5	1.0460251046025104	0.001872687870388158	GSTM1, GSTM2, GSTM4, GSTM5, GSTP1	415	22	16792	9.1960569550931	0.9892048206263303	0.2763702409418308	3.2402023202612873
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	23	4.811715481171548	0.002150727077430087	SH3RF1, CLDN7, IER3, HPN, CRYAB, FHL2, IGF1, TP63, BIRC5, KDR, EPCAM, SPRY2, SERPINB9, EDNRB, CCND2, COMP, VEGFA, RGN, ANGPT1, PIK3R1, GSTP1, ANGPTL4, TWIST1	415	455	16792	2.0453647557262014	0.9944930943479361	0.2930416271668659	3.7127499127053043
GOTERM_BP_DIRECT	GO:0009954~proximal/distal pattern formation	5	1.0460251046025104	0.0026166355524108197	DLX1, TP63, DLL1, HOXD10, LRP4	415	24	16792	8.429718875502008	0.998218103198388	0.3267441135187983	4.499718985164458
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	25	5.230125523012552	0.0026352514784724465	HLF, TSHZ3, EDN3, TNFRSF25, GPR161, CHST2, HACD1, DLL1, CD40, CSRP2, GTF2IRD2B, HOXC6, DKK3, EYA4, TNFRSF10B, SERPINF1, HOXC4, SPDEF, ROR2, CREB3L1, LCLAT1, DOPEY2, WIF1, SPATA6, TDRD1	415	521	16792	1.941585921420808	0.9982966721048674	0.31271764889322706	4.5310368873766045
GOTERM_BP_DIRECT	GO:0030324~lung development	8	1.6736401673640167	0.0026661949319092926	FGFR2, EPAS1, CRISPLD2, PDPN, VEGFA, HSD11B1, PTN, SIM2	415	76	16792	4.259226379201015	0.9984196823893463	0.3011649356556809	4.583072177852254
GOTERM_BP_DIRECT	GO:0008152~metabolic process	12	2.510460251046025	0.003049530857626399	GSTM1, GSTM2, ACSM1, ASPA, GSTM4, FASN, LCLAT1, AGPAT4, ACSS3, GSTM5, GSTP1, ACSF2	415	168	16792	2.8901893287435456	0.9993757273878275	0.3218348182509876	5.22548535410402
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	10	2.092050209205021	0.003069437060216265	SERPINB9, COL7A1, SERPINF1, CPAMD8, SERPINB5, ITIH5, SERPINB1, SERPINB11, CSTA, WFDC2	415	121	16792	3.3440207109429454	0.9994051280492922	0.3102032011779867	5.2587334829786165
GOTERM_BP_DIRECT	GO:0018916~nitrobenzene metabolic process	3	0.6276150627615062	0.0035205510473187993	GSTM1, GSTM2, GSTM4	415	4	16792	30.346987951807233	0.9998006919327602	0.33352034149372856	6.009259221986952
GOTERM_BP_DIRECT	GO:0051289~protein homotetramerization	7	1.4644351464435146	0.003526670898915211	TRPM8, GPX3, ACACA, FBP1, TP63, DPYS, TK1	415	60	16792	4.720642570281124	0.9998036274029383	0.3215721362706673	6.019402262776241
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	9	1.882845188284519	0.003950205298885571	TF, F5, VEGFA, CLU, TGFB3, IGF1, ABCC4, PCDH7, CFD	415	103	16792	3.5355714118610364	0.9999296899330282	0.34016470276560984	6.718865669329855
GOTERM_BP_DIRECT	GO:0045785~positive regulation of cell adhesion	6	1.2552301255230125	0.003960709525420733	PRKCA, VAV3, VEGFA, ANGPT1, EPB41L4B, NRG1	415	43	16792	5.645951246847856	0.9999314587333754	0.3293467936815725	6.736150755656711
GOTERM_BP_DIRECT	GO:0001678~cellular glucose homeostasis	4	0.8368200836820083	0.0044231942778542475	HK2, CARTPT, PPARGC1A, PIK3R1	415	14	16792	11.560757314974184	0.9999776825437394	0.34845294262730664	7.494198934064267
GOTERM_BP_DIRECT	GO:0014912~negative regulation of smooth muscle cell migration	4	0.8368200836820083	0.0044231942778542475	SEMA6D, PPARGC1A, SLIT2, TRIB1	415	14	16792	11.560757314974184	0.9999776825437394	0.34845294262730664	7.494198934064267
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	6	1.2552301255230125	0.0053111242087424465	PRKCA, GATA3, VEGFA, RHOB, ANGPT1, KDR	415	46	16792	5.2777370350969095	0.999997415226141	0.39033231648186273	8.933325510509771
GOTERM_BP_DIRECT	GO:0051781~positive regulation of cell division	6	1.2552301255230125	0.005825676442987444	FGFR2, PROK1, VEGFA, TGFB3, PTN, THBS4	415	47	16792	5.165444757754422	0.9999992595383003	0.40715038696979766	9.757603612383537
